MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT
MATERIEL KO : SERVEUR BIP;SERVEUR : BIP  il n'arrete pas de sonner.;Serveur LNA;Materiel;Infrastructure;Materiel \ Infrastructure \ Serveur LNA;MATERIEL_SERVEUR-FR;08 - Matériel défectueux;INFRA;"Reboot Serveur effectué / BIP TOUJOURS PRESENT:  oui/ non
  / Oui = DI / Non = Clôture Dossier";P1;SYM0070; ; ; ;Msg spe 2; ; ; ;MATERIEL_SERVEUR-FR;Materiel Infrastructure \ Serveur LNA \ Changement cable alimentation;; 
MATERIEL KO : Imprimante err slip;Le voyant slip est allume;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;AUTONOMIE UTILISATEUR;passer une feuille dans l'insertion facture/cheque jusqu'à arret voyant SLIP;P3;SYM0072;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
MATERIEL KO : Imprimante err ouverture capot;Erreur imprimante: erreur ouverture capot.;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMP KO;Verifier  la bonne fermeture du capot / faire un selftest / un check sur la caisse si KO DI;P3;SYM0073; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ Capot;50496738; 
MATERIEL KO : UC REDEMARRE ELECTRIQUEMENT TOUTE SEULE;Redemarrage aleatoire;UC caisse;Materiel;Caisse ;Materiel \ Caisse \ UC caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;verification eventvwr / faire un chkdsk suivant les resultats soit OK soit DI;P3;SYM0075; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ UC caisse \ reparation / Remplacement;; 
MATERIEL KO : Viseur client eteint;Viseur client eteint;Ecran client;Materiel;Caisse;Materiel \ Caisse \ Ecran client;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;verification des branchements + test si KO DI;P3;SYM0076; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Ecran client \ Reparation / Remplacement;; 
MATERIEL KO : Balance affiche H;Balance affiche un H;Parametrage / Tare;Materiel Balance;Berkel;Materiel Balance \ Berkel \ Parametrage / Tare;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;deb/reb / OPOS / bat925/924 / nettoyage plateau ==> SI KO DI;P4;SYM0077; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Parametrage / Tare;;FR IT EDITEUR N3 BERKEL MATERIEL
INFRA : Souhaite eteindre le serveur et les caisses;en travaux souhaite debrancher les caisses / serveur;Serveur LNA;Materiel;Infrastructure;Materiel \ Infrastructure \ Serveur LNA;MATERIEL_SERVEUR-FR;08 - Matériel défectueux;INFRA;Soit on le fait tout de suite si possible soit on demande au magasin de nous recontacter lorsque la coupure peut avoir lieu;P1;SYM0078; ; ; ; ; ; ; ;MATERIEL_SERVEUR-FR;Materiel Serveur \ Serveur \ Coupure electrique non planifiee;; 
Demande TECH SITE;Demande activation imprimante;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMP KO;onglet dans la config caisse sur VLP;P3;SYM0080; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ Reparation / Remplacement;; 
MATERIEL KO : Ecran tactile il faut appuyer fort sur l'ecran;Ecran tactile - il faut appuyer fort sur l'ecran.;Ecran caissiere;Materiel;Caisse;Materiel \ Caisse \ Ecran caissiere;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;A/R + calibrage | enlèvement du smartphone en charge + reboot caisse OK;P3;SYM0081; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Ecran caissiere \ Reparation / Remplacement;; 
MATERIEL KO : Scanner eteint;Scanner eteint;Scanner optique;Materiel;Caisse;Materiel \ Caisse \ Scanner optique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;deb/reb alim sur le transfo dans le meuble de la caisse;P3;SYM0082; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Scanner \ Reparation / Remplacement;; 
MATERIEL KO : Ecran recalibrage;Demande recalibrage;Ecran caissiere;Materiel;Caisse;Materiel \ Caisse \ Ecran caissiere;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;dans l'explorer sur la caisse via touchscreen ou elo : calibrage en 4 points;P3;SYM0083; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Ecran caissiere \ Reparation / Remplacement;; 
MATERIEL KO : Imprimante enregistrement fin de ticket;"Caisse bloquee sur ""enregistrement fin de ticket""";Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;A/R imprimante;P3;SYM0084; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ UC caisse \ reparation / Remplacement;50496738; 
MATERIEL KO : Tiroir ne s'ouvre plus;Le tiroir ne s'ouvre plus;Tiroir caisse;Materiel;Caisse;Materiel \ Caisse \ Tiroir caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;reboot UC test ouverture avec pression sur le tiroir si bruit d'enclenchement mais pas d'ouverture ==> Objet bloquant si pas de bruit verification OPOS si KO DI;P3;SYM0085; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Tiroir caisse;; 
MATERIEL KO : Balance qui bip en permanence;Balance bip en permanence;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;S'assurer qu'il s'agit bien de la balance si bruit plateau ==> PB balane , si bruit dans le meuble caisse ==> PB onduleur. Verification du plateau + nettoyage et test.;P3;SYM0086; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Reparation / Remplacement;;FR IT EDITEUR N3 BERKEL MATERIEL
MATERIEL KO : Onduleur caisse KO;L'onduleur des caisses est KO (il peut sonner/bipper); ;Materiel;Caisse;Materiel \ Caisse;COUPURE ELECTRIQUE-FR;08 - Matériel défectueux;INFRA;Il faut indiquer au magasin de contacter un électricien;P3;SYM0087; ; ; ; ; ; ; ;COUPURE ELECTRIQUE-FR;Infrastructure \ Coupure électrique NP;; 
METI : descente de prix n'arrive pas en caisse;Les descentes de prix n'arrivent pas en caisse;Prix errone;Encaissement;Article;Encaissement \ Article \ Prix errone;FLUX RABBIT MQ-FR;01 - Défaillance applicative;FLUX KO;verification des flux sur le serveur via l'icone boite au lettre dans le menu barre de tache à droite. Si arrivee OK, verifie le tomajcai : contient-il l'article en erreur, si oui ==> faire fct37 pour MAJ caisse;P3;SYM0088; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Article \ Prix errone;; 
METI : N A PAS EU LA REMONTEE METI;N'a pas eu la remontee METI;Ecart CA;Back Office Magasin;Chiffre d'affaire;Back Office Proximite \ Chiffre d'affaire \ Ecart CA;METI STORE-FR;01 - Défaillance applicative;FLUX KO;remise à disposition des fichiers RCAIS si KO : verification via ToolBox si KO esc N2;P3;SYM0089; ; ; ; ; ; ; ;METI STORE-FR;Back Office Proximite \ Chiffre d'affaire \ Ecart CA;;FR IT SIC N1_N2_MAGASINS_PROXI
VENTE INTERDITE LORS DU SCAN D UNE CARTE CADEAU;"Les cartes cadeaux ne fonctionnent pas en caisse, lors du scan de celle-ci le message ""Vente interdite"" apparait";Dematerialise;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Dematerialise;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;"Il faut vérifier sur VLP si l'article est en ""blocage vente"". Si c'est le cas il faut demander à METI de renvoyer l'article ou les articles impactés";P3;SYM0090; ; ; ;MSGCSI; ;1;1;VLP PROXI-FR;Encaissement \ Article \ Vente interdite;; 
TICKET RECLAMATION QUI SORT LORS D UNE VENTE DE CARTE CADEAU;Lors de la vente de la carte cadeau un ticket reclamation est imprime;Dematerialise;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Dematerialise;AXIS-FR;05 - Demande de service;SERVICE UTILISATEUR;Suivre l'action définie :;P3;SYM0091; ; ; ;DmdClie; ;1;1;AXIS-FR;Monetique \ Moyen de paiement \ Dematerialise;; 
RECHERCHE TICKET;demande ticket (date / numero de ticket / heure / montant);Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;bande de control. Essayer de recuperer le plus d'info possible. Date heure n°caisse montant;P3;SYM0092;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=49810049; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;49810049;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
RESEAU KO : LENTEUR RESEAU (PING INSTABLE);Le ping est instable ou il y a des coupures reseau par intermittence;Materiel;Reseaux-Telecoms-Securite;LAN Switch;Reseaux-Telecoms-Securite \ LAN Switch \ Materiel;NETWORK-WW;02 - Défaillance de l'infrastructure;INFRA;si SFR declation lenteur si Orange transfert bannette : SIC N1_N2 RESEAU;P1;SYM0093; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;25002307;FR IT SIC N1_N2 RESEAU
CB NE PASSENT PAS EN MAGASIN CAR RESEAU KO;Plus de reseau dans le magasin, ne peut pas prendre les CB (ping KO);Materiel;Reseaux-Telecoms-Securite;LAN Switch;Reseaux-Telecoms-Securite \ LAN Switch \ Materiel;NETWORK-WW;02 - Défaillance de l'infrastructure;INFRA;si SFR declation lenteur si Orange transfert bannette : SIC N1_N2 RESEAU;P1;SYM0095; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;25002307;FR IT SIC N1_N2 RESEAU
PROCESS VLP : Creation ou modification caissier;Changement mot de passe caissier / creation caissier;Parametrage caissier;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caissier;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;caissier dans fichier sur VLP soit reinit soit modification directement.;P3;SYM0102;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=49814167; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caissier;49814167;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TRANSFERT FACTURE CHORUS VLCC;Demande de procedure pour transferer des factures compte client en fichiers PDF par mail sur le portail CHORUS;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;dispo sur le portail enseigne;P3;SYM0103;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Facture tardive;51314006;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
REMETTRE LE FOND DE CAISSE EN JOUR J;Le magasin demande a remettre le fond initial sur un caissier sur la journee en cours;Gestion tiroir;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Gestion tiroir;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Faire un apport de fond en caisse pour corriger;P3;SYM0104;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Gestion tiroir;49813768;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROCESS VLP : Edition facture sur VLP;Impossible d'editer une facture via vlp;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;passer par l'autre type de facture;P3;SYM0105;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Facture tardive;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE IMPRESSION EDITIONS DE CLOTURE;Magasin demande de lui imprimer les editions de cloture;Logiciel ou message erreur;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;"Impression des éditions en passant par ""édition de clôture"" dans le menu démarrer";P3;SYM0106;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CHIFFRE AFFAIRE ECART CA;ecart de CA;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Verification des anomalie a la date de l'ecart / verification sur les bdc du montant de l'ecart / verification des financiers par caissier. Impression des liste de moyens de paiement.;P3;SYM0107;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC : Fichier PDF;Compte credit client => n'arrive pas a telecharger en format pdf les factures;Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Portail chorus si public / facture : modification post dl en pdf;P3;SYM0108;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROCESS VLP : Impression facture VLCC;L'impression automatique des factures n'a pas eu lieu sur VLCC;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Impression manuelle si fin de mois KO, former le magasin sur la manipulation.;P3;SYM0109;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Facture tardive;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
SOUHAITE SUPPRIMER UN COMPTE CLIENT VLCC;Demande supprimer client sur  VLCC;Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Pas de suppression de compte client. La suppression engendre une perte de CA, le mettre en INACTIF.;P3;SYM0110;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
"TSE KO : DEMANDE MDP POUR SE CONNECTER A VLP 	";Lors de l'acces a VLP demande de mot de passe TSE; ;Encaissement;Serveur caisse;Encaissement\Acces\Connexion/mdp;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;"Indication du MDP (sym) au magasin. Bien cocher la case lors de la saisie du mot de passe à la connexion ""Mémoriser mes informations"".";P3;SYM0112;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Acces \ Connexion / mot de passe;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
Demande TECH SITE : Demande d'activation DHCP;Demande d'activation DHCP; ;Encaissement;Serveur caisse;Encaissement \ Serveur caisse;VLP PROXI-FR;05 - Demande de service;AUTONOMIE UTILISATEUR;Menu demarrer;P3;SYM0114;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC OUVERTURE KO;L'ouverture de VLCC sur le serveur ne fonctionne pas (base m3c indisponible);Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;01 - Défaillance applicative;SERVICE UTILISATEUR;Kill java.exe;P3;SYM0115; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROBLEME DE FINANCEMENT DRIVE SUR LE COMPTE EN BANQUE;PB market Pay au niveau du drive sur son compte en banque; ;Monetique;Infra banque;Monetique \ Infra banque;INFRA_BANQUE-FR;05 - Demande de service;MONETIQUE;Prendre les infos envoyer demande analyse à market pay;P3;SYM0116; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
PROCESS VLP : Perte de badge ou création nouveau;Le magasin nous contact car il a perdu son badge responsable ou souhaite en creer un nouveau;Parametrage caissier;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caissier;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Il faut ajouter le badge sur la fiche caissier en y mettant le numéro de la carte fidélité;P3;SYM0119;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caissier;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE ACCES POUR VLCC;Demande le nom d'utilisateur / mot de passe pour acceder a VLCC;Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;EXP/exp;P3;SYM0121;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CAISSE SUR LE BUREAU : LORS DU DEPART FERMETURE LA CAISSE REVIENT SUR LE BUREAU;Sortie de l'encaissement avec un ticket system error lors du depart fermeture;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;01 - Défaillance applicative;SYSTEM ERROR;Recharger la caisse et refaire le depart fermeture avec le fond initial comme comptage. Si le magasin appel le lendemain du problème, il n'y a rien besoin de faire.;P3;SYM0126; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
N'A PAS EU LA REMONTEE UBER DE LA JOURNEE;N'a pas eu la remontee UBER EAT de la journee (date);Chiffre d affaire;e-Commerce;Encaissement Facturation;e-Commerce \ Encaissement Facturation \ Chiffre d affaire;UBER EATS-FR;03 - Donnes referentiel;UBER;faire le point sur les transactions UBER les K.. Envoi vers odf pour prise en compte.;P3;SYM0129; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR IT ODF N1 DIGITAL
Demande le CA suite cloture KO;Le magasin demande le CA suite a la cloture KO;Echec de cloture / Erreur;Encaissement;Cloture;Encaissement \ Cloture \ Echec de cloture;VLP PROXI-FR;05 - Demande de service;CLOTURE KO;Via le financier si pas de cumul. Sinon il faut passer par la liste des moyens de paiement;P3;SYM0132; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Cloture \ Echec de cloture;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : Tiroir se ferme mal;le tiroir se ferme mal;Tiroir caisse;Materiel;Caisse;Materiel \ Caisse \ Tiroir caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;Reboot UC , verifier que rien ne bloque la fermeture, si KO => DI;P3;SYM0133; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Tiroir caisse;; 
DEMANDE INFORMATION CLOTURE;Demande d'information cloture en cours ou KO;Echec de cloture / Erreur;Encaissement;Cloture;Encaissement \ Cloture \ Echec de cloture;VLP PROXI-FR;01 - Défaillance applicative;CLOTURE KO;regarder les log de deroulement de la clôture. Suivant le bloc, determiner le temps restant.;P3;SYM0134; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Cloture \ Echec de cloture;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CATALINA : Bons ne peuvent pas etre repris en caisse;Bons catalina ne peuvent pas etre repris en caisse;Bon de retour;Back Office Magasin;Gestion des retours;Fidelite \ Fidelite \ Coupon;CATALINA PROXIMITE-FR;01 - Défaillance applicative;CATALINA : Bon;Verifier les adressages IP  |  Regedit ==> Ordinateur\HKEY_LOCAL_MACHINE\SOFTWARE\Symag\VISUAL LEADER-EPOS\5.7\UniCastManager et changer l'adresse IP A.B.C.D le D (-1) fermerure ou bien reboot caisse pour prendre en compte les modifications | Inviter le magasin à contacter le 01 46 94 50 00 + Clôture dossier en HORS PERIMÉTRE;P3;SYM0138; ; ; ;Mse spé 6; ; ; ;VLP PROXI-FR;Encaissement \ Parametrage peripherique caisse \ Imprimante ticket;51348913;Mail interne
PROCESS VLP : Verification CA;Demande verifier CA;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;Sur VLP, etat;P4;SYM0139; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MATERIEL KO : Balance affiche des tirets;balance affiche des tirets ;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;deb/reb alim sur le transfo dans le meuble de la caisse;P4;SYM0140; ; ; ; ; ; ; ;MATERIEL_BALANCES-FR;Materiel Balance \ Berkel \ Reparation / Remplacement;; 
SOUHAITE ASSOCIER UNE ADRESSE MAIL AU CLIENT VLCC;Souhaite associer son adresse mail aux credits clients, afin de pouvoir envoyer les factures directement par mail;Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;Il faut indiquer au magasin que ce n'est pas possible. Il y a la possibilité de le faire via CHORUS;P4;SYM0141; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
Imprimante OFFLINE;Impression financier KO à partir de l'imprimante bureautique HP (Imprimante OFFLINE) ;Bascule imprimante;Encaissement;Serveur caisse ;Encaissement \ Serveur caisse \ Bascule imprimante;IMPRIMANTE HP CONFIGURATION-FR;08 - Matériel défectueux;Imprimante OFFLINE;Desactivation du SNMP dans le port de l'imprimante = OK ;P4;SYM0145; ; ; ; ;\\si-fichbr-01\symag\SVP\Outils\MATRICE\Documentation\IMPRIMANTE HPLaser en OFFLINE.pdf; ; ;IMPRIMANTE HP CONFIGURATION-FR;Materiel Imprimante;50496738; 
RESEAU KO : Lenteur;Lenteur lors des paiement en CB.;Materiel;Reseaux-Telecoms-Securite;LAN Switch;Reseaux-Telecoms-Securite \ LAN Switch \ Materiel;NETWORK-WW;02 - Défaillance de l'infrastructure;INFRA;declaration au fournisseur d'accès.;P1;SYM0150; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;25002307;FR IT SIC N1_N2 RESEAU
REMETTRE LE FOND DE CAISSE EN JOURNEE PRECEDENTE;Le magasin demande a remettre le fond inital sur un caissier sur une journee precedente;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;gestion tiroir correction jour j-1 UNIQUEMENT si problème logiciel (bascule, cloture KO);P3;SYM0151;A/U : Oui; ; ;FU; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TPE : Alerte irruption;TPE : Alerte irruption;TPE classique;Materiel ;Caisse;Materiel \ Caisse \ TPE classique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;DI OBLIGATOIRE;P3;SYM0154; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ TPE classique \ TPe en intrusion;; 
ANNULATION TICKET D UNE CARTE CADEAU ACTIVEE;Annuler ticket pour carte cadeau activee.;Dematerialise;Monetique;Moyen de paiement ;Monetique \ Moyen de paiement \ Dematerialise;AXIS-FR;05 - Demande de service;PRODUITS DEMAT;Pas d'annulation ticket possible avec une carte cadeau. Il faut envoyer un mail à Epay si besoin.;P4;SYM0156; ; ; ;1; ; ;1;AXIS-FR;Monetique \ Moyen de paiement \ Dematerialise;; 
MATERIEL KO : Imprimante en erreur après abandon ticket;erreur imprimante uniquement lors d'un abandon ticket;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMP KO;Verifications autres fonctions /pskill pcwin + 950 + 904 + 900 + 9001 = KO / OPOS bons, branchements bons /swap imp / Verification des DLL si KO ESC;P3;SYM0159; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
MATERIEL KO : Imprimante cable abime;IMP : cable data KO.;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMP KO;Verification des branchements / swap imp + swap cable si KO DI;P3;SYM0161; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ reparation / Remplacement;50496738; 
CABLE TPE ABIME OU HS;Le cable du TPE est abime ou HS;Casse;Materiel;TPE classique;Materiel Caisse \ TPE classique \ Casse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;DI câble;P3;SYM0163; ; ; ; ; ; ;1;MATERIEL_CAISSE-FR;Materiel Caisse \ TPE classique \ Casse;; 
MAJ DRIVER IMPRIMANTE BUREAUTIQUE;MAJ driver imprimante bureau HP ;Imprimante ticket;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Imprimante ticket;IMPRIMANTE HP CONFIGURATION-FR;08 - Matériel défectueux;IMP KO;A envoyer à la cellule validation par mail + affectation CARE vers le backend.;P3;SYM0165; ; ; ; ; ; ; ;IMPRIMANTE HP CONFIGURATION-FR;Materiel Imprimante;; 
MATERIEL KO : Tiroir ouverture non demandee;Ouverture du tiroir non demandee.;Tiroir caisse;Materiel;Caisse;Materiel \ Caisse \ Tiroir caisse;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;reboot UC test ouverture avec pression sur le tiroir si bruit d'enclenchement mais pas d'ouverture ==> Objet bloquant si pas de bruit verification OPOS si KO DI;P3;SYM0166; ; ; ; ;; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Tiroir caisse;; 
