Enseigne;sycron;anabel;adresse;cp;villes;telephone;serveur;caisse;Type caisse;Msge;NCR;DN;Trt sco
CITY\2515 ANDREZIEUX;2515;1944;C.C. LA CHAPELLE;42160;ANDREZIEUX BOUTHEON;33477369515;LV2;03K_WM3_L5000-USB;M3;#REF!;;;
CITY\2516 ANNECY NOVEL;2516;3195;13 PLACE ANNAPURNA;74000;ANNECY;33450190017;LV3;03K_WI2;S2;#REF!;;;
CITY\2522 AUBERVILLIERS JAURES;2522;1975;57 AVE JEAN JAURES;93300;AUBERVILLIERS;33143521405;LV2;03K_WI2;S2;#REF!;;;
CITY\2524 AULNAY BONDY;2524;3180;6 RUE DE BONDY;93600;AULNAY SOUS BOIS;33950827724;LV1;03K_WI2;S2;#REF!;;;
CITY\2539 BOIS COLOMBES BOURGUIGNONS;2539;6420;71 RUE DES BOURGUIGNONS;92270;BOIS COLOMBES;33147860572;LV2;03K_WI2;S2;#REF!;;;
CITY\2540 BOIS GUILLAUME;2540;3201;RUE DU CHAMP DES OISEAUX;76230;BOIS-GUILLAUME;33235080082;LV2;02K_WM3;M3;#REF!;;;
CITY\2543 BONDOUFLE;2543;3202;C.C. LES 3 PARTS RUE DU CLOS DE LA FERME;91070;BONDOUFLE;33160861927;LV2;03K_WI2;S2;#REF!;;;
CITY\2551 CALAIS GAMBETTA;2551;3210;133 BOULEVARD GAMBETTA;62100;CALAIS;33321971327;LV2;02K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2559 CHAMPIGNY SUR MARNE MARCHE;2559;3182;4-6, PLACE DU MARCHE;94500;CHAMPIGNY-SUR-MARNE;33148802917;LV4;03K_WI2;S2;#REF!;;;
CITY\2574 CORBEIL ESSONNES LEGRIS 12;2574;2678;12-16 RUE DU PERE LEGRIS;91100;CORBEIL ESSONNES;33160890853;LV2;02K_WI2;S2;#REF!;;;
CITY\2580 CRETEIL TASSIGNY MIGRATI;2580;2686;33/37, AVENUE DU MAL DE LATTRE DE TASSIGNY;94000;CRETEIL;33148989332;LV2;03K_WI2;S2;#REF!;;;
CITY\2586 ECULLY LUIZET;2586;2701;3-5, RUE LUIZET;69130;ECULLY;33478334764;LV2;04K_WI2;S2;#REF!;;;
CITY\2589 PARIS BATIGNOLLES;2589;3186;41 BIS, BOULEVARD DES BATIGNOLLES ET 39 RUE DE MOSCOU;75008;PARIS;33173708479;LV2;03K_WI2;S2;#REF!;;;
CITY\2590 PARIS BEAUBOURG;2590;2919+ 24/24 ;6, RUE DE BEAUBOURG;75004;PARIS;33973146580;LV2;04K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2591 PARIS BELLEVILLE 296;2591;2920;296 BOULEVARD DE BELLEVILLE;75020;PARIS;;LV2;02K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2592 PARIS BELLEVILLE 30;2592;2921;30, BOULEVARD DE BELLEVILLE;75020;PARIS;33954895802;LV2;02K_WI2;S2;#REF!;;;
CITY\2600 ERMONT SAVOIE;2600;6494;135 RUE LOUIS DE SAVOIE;95120;ERMONT;33130720294;LV1;02K_WI2;S2;#REF!;;;
CITY\2608 FONTAINEBLEAU REPUBLIQUE;2608;3355;4, PLACE DE LA REPUBLIQUE;77300;FONTAINEBLEAU;33160726576;LV2;03K_WI2;S2;#REF!;;;
CITY\2635 ISSY LES MOULINEAUX REPUBLIQUE;2635;1814;2, AVENUE DE LA REPUBLIQUE;92130;ISSY LES MOULINEAUX;33140930699;LV3;02K_WI2_1SCO-NCR;S2;#REF!;NCR;;NCR
"CITY\2638 ANNEMASSE		";2638;4187;12 RUE DE LA GARE;74100;ANNEMASSE;33450847690;LV4;03K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2639 JOINVILLE GALLIENI;2639;2754;37, AVENUE GALLIENI;94340;JOINVILLE LE PONT;33148898194;LV2;02K_WI2;S2;#REF!;;;
CITY\2645 LA GARENNE COLOMBES REPUBLIQUE;2645;3050;54, BOULEVARD DE LA REPUBLIQUE;92250;LA GARENNE COLOMBES;33147840896;LV2;03K_WI2_1SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2657 LE PERREUX SUR MARNE LEDRU ROLLIN;2657;3356;10-12, AV. LEDRU ROLLIN;94170;LE PERREUX SUR MARNE;3314324114;LV3;04K_WI2;S2;#REF!;;;
CITY\2658 PONT DE CLAIX;2658;3243;COURS SAINT ANDRE;38800;LE-PONT-DE-CLAIX;33476406489;LV2;03K_WI2;S2;#REF!;;;
CITY\2661 LE PRE SAINT GERVAIS;2661;3184;4, RUE GABRIEL PERI;93110;LE-PRE-SAINT-GERVAIS;33183744738;LV1;03K_WI2;S2;#REF!;;;
CITY\2662 LE RAINCY RESISTANCE;2662;3185;39, AVENUE DE LA RESISTANCE;93340;LE RAINCY;33149447265;LV2;03K_WI2;S2;#REF!;;;
CITY\2675 PARIS MOZART;2675;1794;58 AVENUE MOZART;75016;PARIS;33145278426;LV1;03K_WM3;M3;#REF!;;;
CITY\2676 MAISONS LAFITTE;2676;1813;13, AVENUE GENERAL DE GAULLE;78600;MAISONS-LAFFITTE;33139148160;LV2;03K_WM3_L5000-USB;M3;#REF!;;;
CITY\2677 PARIS GAUTIER;2677;2941;16, AVENUE THEOPHILE GAUTIER;75016;PARIS;33145276005;LV1;02K_WM3_L5000-USB;M3;#REF!;;;
CITY\2678 LYON GOUY;2678;1818;27 RUE GEORGES GOUY;69007;LYON;33472734272;LV2;03K_WI2;S2;#REF!;;;
CITY\2684 SAINT MARTIN BOULOGNE;2684;1929;PLACE JEAN MOULIN;62280;SAINT MARTIN BOULOGNE;33321918549;LV2;03K_WI2;S2;#REF!;;;
CITY\2696 PARIS BELLEVILLE 8;2696;3260;8, RUE DE BELLEVILLE;75020;PARIS;33142237824;LV4;03K_WI2_5SCO-NCR_Nocturne;S2;#REF!;NCR;;NCR
CITY\2697 PARIS CAUMARTIN;2697;6667+ 24/24;7 RUE CAUMARTIN;750009;PARIS;33149249343;LV1;04K_WM3_L5000-USB_4SCO-NCR;M3;#REF!;NCR;;NCR
CITY\2699 PARIS CHARONNE;2699;6496;123, RUE DE CHARONNE;75011;PARIS;33967184304;LV2;04K_WI2_4SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2700 PARIS RENTIERS;2700;3262;72/76, RUE CHATEAU DES RENTIERS;75013;PARIS;33144245083;LV2;03K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2701 PARIS CLICHY 23;2701;2925;23, AVENUE DE CLICHY;75017;PARIS;33953109505;LV2;02K_WI2;S2;#REF!;;;
CITY\2702 PARIS CLICHY 86;2702;2927;86 AVENUE DE CLICHY;75017;PARIS;33142631918;LV2;03K_WM3;M3;#REF!;;;
CITY\2703 PARIS COUR DES NOUES;2703;2928;40, RUE DE LA COUR DES NOUES;75020;PARIS;33967766447;LV2;03K_WI2;S2;#REF!;;;
CITY\2704 PARIS DAMREMONT 133;2704;3263;133, RUE DAMREMONT;75018;PARIS;33146062779;LV1;03K_WI2;S2;#REF!;;;
CITY\2706 PARIS DOMREMY;2706;2931;50, RUE DOMREMY;75013;PARIS;33145862005;LV2;02K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2708 PARIS ENTREPRENEURS 54;2708;2936+ 24/24;54, RUE DES ENTREPRENEURS;75015;PARIS;33145779937;LV2;02K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2709 PARIS FLANDRES 110;2709;3264;110 BIS, RUE DE FLANDRE;75019;PARIS;33140348436;LV1;04K_WI2_4SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2710 PARIS FLANDRE;2710;2937;44, AVENUE DE FLANDRE;75019;PARIS;33140380563;LV3;03K_WI2;S2;#REF!;;;
CITY\2711 PARIS MONTMARTRE 142;2711;2951;142, RUE MONTMARTRE;75002;PARIS;33144760644;LV2;02K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2713 PARIS NOTRE DAME DES CHAMPS;2713;2954;84 RUE NOTRE DAME DES CHAMPS;75009;PARIS;33144410314;LV4;04K_WI2;S2;#REF!;;;
CITY\2716 PARIS SAMPAIX;2716;3190;7 RUE LUCIEN SAMPAIX;75010;PARIS;33142039259;LV2;03K_WI2;S2;#REF!;;;
CITY\2718 PARIS PARMENTIER;2718;3178;39-43, AVENUE PARMENTIER;75011;PARIS;33149234169;LV1;04K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2719 PARIS VERGNIAUD;2719;2969;33, RUE DE VERGNIAUD;75013;PARIS;33145893075;LV1;02K_WI2;S2;#REF!;;;
CITY\2722 PARIS MASSENA;2722;2950;166, BOULEVARD MASSENA;75013;PARIS;33145865745;LV3;03K_WI2;S2;#REF!;;;
CITY\2724 PARIS NIEPCE;2724;3189;17-19, RUE NIEPCE;75014;PARIS;33140475341;LV2;04K_WI2_3SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2725 PARIS TOMBE ISSOIRE 19;2725;3274;13/19, RUE DE LA TOMBE ISSOIRE;75014;PARIS;33145882476;LV2;03K_WI2_1SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2728 PARIS THEATRE;2728;2966;148, RUE DU THEATRE;75015;PARIS;33145751348;LV1;03K_WI2;S2;#REF!;;;
CITY\2729 PARIS VAUGIRARD 365;2729;3275;365, RUE DE VAUGIRARD;75015;PARIS;33148043105;LV1;03K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2730 PARIS RENAUDES;2730;2960;36, RUE DES RENAUDES;75017;PARIS;33147549359;LV2;03K_WI2;S2;#REF!;;;
CITY\2731 PARIS POUCHET;2731;3270;50/54, RUE POUCHET;75017;PARIS;33144853126;LV2;03K_WI2;S2;#REF!;;;
CITY\2733 PARIS RICQUET;2733;2961;75, RUE RIQUET;75018;PARIS;33142061267;LV2;03K_WI2;S2;#REF!;;;
CITY\2735 PARIS PYRENEES 228;2735;3272;228, RUE DES PYRENEES;75020;PARIS;33171375096;LV1;03K_WI2;S2;#REF!;;;
CITY\2737 PARIS MAINE;2737;2949;85 AVENUE DU MAINE;75014;PARIS;33143219226;LV1;04K_WI2;S2;#REF!;;;
CITY\2741 PARIS MARX DORMOY;2741;3267;4, RUE MARX DORMOY;75018;PARIS;33140372533;LV1;03K_WI2;S2;#REF!;;;
CITY\2744 PARIS GRANGE BELLES;2744;6432;24, RUE DE LA GRANGE AUX BELLES;75010;PARIS;33142013980;LV1;03K_WI2;S2;#REF!;;;
CITY\2746 PARIS FONTAINE ROI;2746;2939;8, RUE DE LA FONTAINE AU ROI;75011;PARIS;33149235396;LV1;03K_WI2;S2;#REF!;;;
CITY\2747 PARIS SAINT ANTOINE 100;2747;2964;100, RUE DU FAUBOURG SAINT-ANTOINE;75012;PARIS;33951272610;LV2;03K_WI2;S2;#REF!;;;
CITY\2749 PARIS ITALIE 53;2749;2944;53, AVENUE D'ITALIE;75013;PARIS;33153611004;LV2;03K_WI2;S2;#REF!;;;
CITY\2750 PARIS GUILLAUME TELL;2750;6433;25 rue Guillaume Tell;75017;PARIS;33147540559;LV1;03K_WI2;S2;#REF!;;;
CITY\2752 PARIS JUMIN;2752;3176;28, RUE EUGENE JUMIN;75019;PARIS;33952903211;LV1;04K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2754 PARIS LAUMIERE;2754;3177;29/33, AVENUE DE LAUMIERE;75019;PARIS;33142380652;LV2;02K_WI2;S2;#REF!;;;
CITY\2755 PARIS HAXO SURMELIN;2755;3188;1, RUE HAXO;75020;PARIS;33143643891;LV2;04K_WI2;S2;#REF!;;;
CITY\2756 PALAISEAU MORERE;2756;2915;4, RUE DU DR MORERE;91120;PALAISEAU;33160122839;LV2;03K_WI2;S2;#REF!;;;
CITY\2760 SAINT MANDE PARIS;2760;3291;101, AV. DE PARIS;94160;PARIS;33143652840;LV2;05K_WI2;S2;#REF!;;;
CITY\2762 SAINT MAURICE;2762;3293;46, AVENUE DU MAL DE LATTRE DE TASSIGNY;94410;SAINT MAURICE;33143960281;LV2;03K_WI2;S2;#REF!;;;
CITY\2764 SAINT OUEN BAUER;2764;6627;106, RUE DU DOCTEUR BAUER;93400;SAINT OUEN;33140129351;LV1;03K_WI2;S2;#REF!;;;
CITY\2771 SAINTE GENEVIEVE DES BOIS LA CLAIRJOIE;2771;3297;C.C. LA CLAIRJOIE;91700;SAINTE GENEVIEVE DES BOIS;33165159132;LV1;03K_WI2;S2;#REF!;;;
CITY\2787 NICE GAMBETTA 78;2787;6415;78 COURS GAMBETTA;6000;NICE;33493790025;LV2;04K_WI2;S2;#REF!;;;
CITY\2788 GRENOBLE BELGIQUE;2788;3636;17 COURS ALBERT 1ER DE BELGIQUE;38000;GRENOBLE;33476273334;LV2;04K_WI2;S2;#REF!;;;
CITY\2795 STRASBOURG 1ERE ARMEE;2795;1834;29 RUE DE LA 1ERE ARMEE;67000;STRASBOURG;33388252907;LV2;03K_WM3;M3;#REF!;;;
CITY\2803 VERSAILLES GENERAUX;2803;3126;41-43, RUE DES ETATS-GENERAUX;78000;VERSAILLES;33139516022;LV1;03K_WI2;S2;#REF!;;;
CITY\2804 VERSAILLES PERSHING;2804;2760;12 BIS, AVENUE DU GENERAL PERSHING;78000;VERSAILLES;33954806744;LV2;03K_WI2;S2;#REF!;;;
CITY\2805 VERSAILLES SAINT CLOUD;2805;2830;67, AVENUE DE SAINT-CLOUD;78000;VERSAILLES;33139511043;LV2;03K_WI2;S2;#REF!;;;
CITY\2808 VILLENEUVE LA GARENNE;2808;6671;213, BOULEVARD GALLIENI;92390;VILLENEUVE LA GARENNE;33141215980;LV1;03K_WI2;S2;#REF!;;;
CITY\2810 VINCENNES FONTENAY;2810;3307;134, RUE DE FONTENAY;94300;VINCENNES;33149570342;LV1;03K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2836 RUEIL MALMAISON EGLISE 15;2836;3287;15, PLACE DE L'ÉGLISE;92500;RUEIL MALMAISON;33157693308;LV1;04K_WI2;S2;#REF!;;;
CITY\2841 SAINT CLOUD;2841;6461;100, BOULEVARD DE LA REPUBLIQUE;92210;SAINT CLOUD;33146028470;LV1;03K_WI2;S2;#REF!;;;
CITY\2847 PARIS SAINT OUEN 39;2847;3191;39, AVENUE DE SAINT OUEN;75017;PARIS;3,30981E+11;LV1;03K_WI2;S2;#REF!;;;
CITY\2855 NICE LEPANTE;2855;2899;31, RUE LEPANTE;6000;NICE;33493018162;LV2;03K_WI2;S2;#REF!;;;
CITY\2856 NICE NAPOLEON;2856;2900;78 BLD NAPOLEON III;6000;NICE;33493515549;LV3;03K_WI2;S2;#REF!;;;
CITY\2870 ASNIERES ARGENTEUIL;2870;3323;112 AVENUE D'ARGENTEUIL;92600;ASNIERE SUR SEINE;33147984861;LV2;02K_WM3;M3;#REF!;;;
CITY\2871 ANGERS PASTEUR;2871;1928;20 AVENUE PASTEUR;49100;ANGERS;33241374054;LV2;03K_WI2;S2;#REF!;;;
CITY\2872 SAINT LOUIS BALE;2872;3635;2 RUE DE BALE;68300;SAINT-LOUIS;33389709444;LV2;03K_WI2;S2;#REF!;;;
CITY\2873 SAINT NAZAIRE PAQUEBOT;2873;1930;77 AVENUE DE LA REPUBLIQUE;44600;SAINT-NAZAIRE;33240221085;LV2;03K_WI2;S2;#REF!;;;
CITY\2875 ORLY TERMINAL SUD;2875;3766;ORLY TERMINAL SUD N°103;94396;ORLY;33170033064;LV1;03K_WI2;S2;#REF!;;;
CITY\2876 FLERS;2876;3156;16 RUE DU 06 JUIN;61100;FLERS;33233384356;LV2;03K_WI2_1SCO-NCR;S2;#REF!;NCR;;NCR
CITY\2877 GRADIGNAN;2877;3316;2 BIS ROUTE DE LEOGNAN;33170;GRADIGNAN;33557960169;LV1;03K_WI2;S2;#REF!;;;
CITY\2886 GRENOBLE JAURES 31;2886;2735;31 COURS JEAN JAURES;38000;GRENOBLE;33438864805;LV1;03K_WI2;S2;#REF!;;;
CITY\2895 MARSEILLE CHARTREUX;2895;2832;44, AVENUE DES CHARTREUX;13004;MARSEILLE;33491340759;LV3;02K_WI2;S2;#REF!;;;
CITY\2899 MARSEILLE BOURDET SAINT CHARLES;2899;2848;"""""""RES. ST CHARLES""""""";13001;MARSEILLE;33491918301;LV2;03K_WI2;S2;#REF!;;;
CITY\2900 MARSEILLE SAINTE;2900;2846;87 RUE SAINTE;13007;MARSEILLE;33491336603;LV2;02K_WI2;S2;#REF!;;;
CITY\2915 MONTREUIL PARIS;2915;3094;63 RUE DE PARIS;93100;MONTREUIL;33143634030;LV3;03K_WI2;S2;#REF!;;;
CITY\2919 NANTERRE THOREZ;2919;2889;12, RUE MAURICE THOREZ;92000;NANTERRE;33170162618;LV2;03K_WI2;S2;#REF!;;;
CITY\2922 NICE CASSIN AEROPORT;2922;2894;77 BOULEVARD RENE CASSIN;6000;NICE;33493721989;LV2;05K_WI2;S2;#REF!;;;
CITY\2923 NICE BORRIGLIONE 73;2923;2896;73, AVENUE BORRIGLIONNE;6100;NICE;33493974365;LV2;03K_WI2;S2;#REF!;;;
CITY\2945 VILLEMOMBLE;2945;6569;4 RUE MONTEL;93250;VILLEMOMBLE;33145283068;LV2;03K_WI2;S2;#REF!;;;
CITY\2951 MARSEILLE BELSUNCE;2951;6509;46 COURS BELSUNCE;13001;MARSEILLE;33491881264;LV2;04K_WI2;S2;#REF!;;;
CITY\2952 SAINT OUEN BATELIERS;2952;3083;RUE DES BATELIERS;93400;BAGNOLS EN FORET;33144859117;LV2;03K_WI2;S2;#REF!;;;
CITY\2958 PARIS FLANDRES;2958;6498;155 AVENUE DE FLANDRES;75019;PARIS;33142052840;LV1;04K_WI2;S2;#REF!;;;
CITY\2969 PALAISEAU CAUSEUSES SACLAY;2969;6378;1 PLACE DES CAUSEUSES;91120;PALAISEAU;33967662946;LV2;03K_WI2;S2;#REF!;;;
CITY\2973 TOULOUSE GOSCINNY;2973;6510;RUE RENE GOSCINNY;31400;TOULOUSE;33561520126;LV2;03K_WI2;S2;#REF!;;;
CITY\2975 PARIS BELLEVILLE;2975;6523;88-90 RUE DE BELLEVILLE;75020;PARIS;33143665086;LV1;07K_WI2;S2;#REF!;;;
CITY\2982 ROUBAIX DE GAULLE;2982;6559;BOULEVARD DU GENERAL DE GAULLE;59100;ROUBAIX;33320016749;LV1;03K_WI2;S2;#REF!;;;
CITY\3040 PARIS SAINT EMILION;3040;6695;5 COUR SAINT EMILION;75012;PARIS;33987137286;LV2;03K_WI2;S2;#REF!;;;
CITY\3062 RODEZ CORBIERES;3062;6525;3 RUE CORBIERES;12000;RODEZ;33565687310;LV2;03K_WI2;S2;#REF!;;;
CITY\3095 VILLEURBANNE SERVET;3095;6552;44 RUE MICHEL SERVET;69100;VILLEURBANNE;33478032191;LV2;03K_WI2;S2;#REF!;;;
CITY\3100 LA MADELEINE GAMBETTA;3100;6563;178 RUE GAMBETTA;59110;LA MADELEINE;33320510872;LV2;02K_WI2;S2;#REF!;;;
CITY\3102 ARGENTON SUR CREUSE;3102;6818;9 PLACE DE LA REPUBLIQUE;36200;ARGENTON SUR CREUSE;33254601247;LV1;02K_WI2;S2;#REF!;;;
CITY\3105 SOYAUX;3105;6579;17 PLACE JEAN JACQUES ROUSSEAU;16800;SOYAUX;33545699125;KO;KO;KO;#REF!;;;
CITY\3109 LOURDES;3109;6556;7 PLACE MARCADAL;65100;LOURDES;33562954056;LV3;03K_WI2;S2;#REF!;;;
CITY\3117 BALMA GALILEE;3117;6580;22 AVENUE GALILEE;31130;BALMA;33561463188;LV2;03K_WI2;S2;#REF!;;;
CITY\3118 PARIS JOUFFROY ABBANS;3118;6605;85 RUE JOUFFROY D'ABBANS;75017;PARIS;33145757647;LV2;03K_WI2;S2;#REF!;;;
CITY\3127 LYON SAXE 136;3127;2815;136-138, AVENUE DE SAXE;69003;LYON;33478629707;KO;KO;KO;#REF!;;;
CITY\3129 BORDEAUX BONNAC;3129;6630;RUE GEORGES BONNAC;33000;BORDEAUX;33557216088;LV2;03K_WI2;S2;#REF!;;;
CITY\3130 MERIGNAC MASARYK;3130;6716;4 RUE JEAN MASARYK;33700;MERIGNAC;33967830775;LV2;03K_WI2;S2;#REF!;;;
CITY\3133 VILLENNES SUR SEINE;3133;6694;75 PLACE DE L EGLISE;78670;VILLENNES SUR SEINE;33139772502;LV2;02K_WI2;S2;#REF!;;;
CITY\3135 RENNES ALMA;3135;6578;49 RUE DE L' ALMA;35000;RENNES;33223620472;LV2;02K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\3138 NIMES POMPIDOU;3138;6684;21 AVENUE G. POMPIDOU;30000;NIMES;;LV2;03K_WI2;S2;#REF!;;;
CITY\3139 NARBONNE GAMBETTA;3139;6731;22 BOULEVARD GAMBETTA;11100;NARBONNE;33468497468;LV3;02K_WI2;S2;#REF!;;;
CITY\3158 SAINT ANDRE LEZ LILLE;3158;6613;77 AVENUE DU GENERAL LECLERC;59350;SAINT ANDRE LEZ LILLE;33328050241;LV4;02K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\3159 PARIS RENNES;3159;6736;71 RUE DE RENNES;75006;PARIS;33145480450;LV3;05K_WI2;S2;#REF!;;;
CITY\3170 PARIS VOLTAIRE 74;3170;6745;74 BOULEVARD VOLTAIRE;75011;PARIS;33155287654;LV1;05K_WI2_7SCO-DN;S2;#REF!;;DN;DN
CITY\3172 MONTIGNY LES METZ;3172;6734;8 PLACE JOSEPH SHAFF;57950;MONTIGNY LES METZ;33387503211;LV3;03K_WI2;S2;#REF!;;;
CITY\3174 ROUEN SAINT HILAIRE;3174;6632;102-106 RUE SAINT HILAIRE;76000;ROUEN;33227080762;LV2;03K_WI2;S2;#REF!;;;
CITY\3179 CLERMONT FERRAND REPUBLIQUE;3179;6728;142 RUE DE LA REPUBLIQUE;63000;CLERMONT FERRAND;33473248236;LV2;03K_WI2;S2;#REF!;;;
CITY\3184 GONFREVILLE ORCHER;3184;6712;PLACE DU VIEUX COLOMBIER - RUE ROSA LUXEMBOURG;76700;GONFREVILLE ORCHER;;LV3;03K_WI2;S2;#REF!;;;
CITY\3185 ORLY TERMINAL OUEST;3185;6848;Niveau 0 - Hall 1 - Cellule 0C10;94310;ORLY;33174221444;LV4;04K_WI2;S2;#REF!;;;
CITY\3194 NIMES PERI;3194;6754;7 PLACE PERI;30000;NIMES;33466402037;LV3;03K_WI2;S2;#REF!;;;
CITY\3195 LAGORD;3195;6751;41 AVENUE DES OISEAUX DE MER;17140;LAGORD;33546441738;LV2;03K_WI2;S2;#REF!;;;
CITY\3198 JOUE LES TOURS ROTIERE;3198;6763;4 RUE DE LA ROTIERE;37700;JOUE LES TOURS;33247672276;LV2;03K_WI2;S2;#REF!;;;
CITY\3199 POISSY DE GAULLE;3199;6762;131 AVENUE DU GAL DE GAULLE;78300;POISSY;33134011060;LV3;02K_WI2;S2;#REF!;;;
CITY\3205 NICE RIQUIER;3205;9088;32 BD DE RIQUIER;6000;NICE;33962529908;LV2;03K_WI2;S2;#REF!;;;
CITY\3206 MENTON THIERS;3206;6924;6 AVENUE THIERS;6500;MENTON;33493712034;LV4;02K_E61;E61;#REF!;;;
CITY\3208 PARIS RICHELIEU;3208;6776;43 RUE DE RICHELIEU;75009;PARIS;33142612367;LV2;03K_WI2_3SCO-NCR;S2;#REF!;NCR;;NCR
CITY\3209 BORDEAUX TAUZIN;3209;6838;RUE TAUZIN;33000;BORDEAUX TAUZIN;33556586733;LV1;02K_WI2;S2;#REF!;;;
CITY\3214 MONTPELLIER JUSTICE 68 (BRICOLAGE);3214;6775;68, AVENUE JUSTICE DE CASTELNAU;34070;MONTPELLIER;33467635171;LV2;02K_WI2;S2;#REF!;;;
CITY\3215 SOISY SOUS MONTMORENCY;3215;6837;9 AVENUE DU GENERAL DE GAULLE;95230;SOISY SOUS MONTMORENCY;33983041806;LV3;03K_WI2;S2;#REF!;;;
CITY\3221 VALENCE MONTJAU;3221;6877;58 RUE MADIER MONTJAU;26000;VALENCE;33967647712;LV2;04K_WM3;M3;#REF!;;;
CITY\3223 LIMOGES GAY LUSSAC;3223;6851;7 COURS GAY LUSSAC;87000;LIMOGES;33555098002;LV3;03K_WI2;S2;#REF!;;;
CITY\3227 BONNEUIL SUR MARNE ROUX;3227;9094;1-5 AVENUE DU DOCTEUR EMILE ROUX;94380;BONNEUIL SUR MARNE;33973880374;LV3;02K_WI2;S2;#REF!;;;
CITY\3249 METZ CLERCS;3249;9336;RUE DES CLERCS;57000;METZ;33387761416;LV1;05K_WM3_L5000-USB;M3;#REF!;;;
CITY\3252 VANNES HOCHE;3252;9076;10-12 RUE HOCHE;56000;VANNES;33297690589;LV3;02K_WI2;S2;#REF!;;;
CITY\3253 RENNES MAGINOT;3253;6972;148 AVENUE SERGENT MAGINOT;35000;RENNES;33299388711;LV1;04K_WI2;S2;#REF!;;;
CITY\3257 ISSY LES MOULINEAUX RENAN 9;3257;9096;9-11 RUE ERNEST RENAN;92130;ISSY LES MOULINEAUX;33146426030;LV3;07K_WI2;S2;#REF!;;;
CITY\3268 LIMOGES PERRIN;3268;9097;66 RUE FRANCOIS PERRIN;87000;LIMOGES;33555771029;LV1;03K_WI2;S2;#REF!;;;
CITY\3269 TOULOUSE ESPAGNE;3269;9145;39, ROUTE D'ESPAGNE;31100;TOULOUSE;33561765225;LV3;03K_WI2;S2;#REF!;;;
CITY\3270 TOULOUSE SEJOURNE;3270;9173;3 AVENUE PAUL SEJOURNE;31000;TOULOUSE;33534400063;LV1;03K_WI2;S2;#REF!;;;
CITY\3286 LE HAVRE ARCHINARD;3286;9356;25, AVENUE DU GENERAL ARCHINARD;76600;LE HAVRE;33232732783;LV3;03K_WI2;S2;#REF!;;;
CITY\3304 LILLE MAYOTTE;3304;9404;3 RUE JEANNE MAYOTTE;59000;LILLE;33967001717;LV3;03K_WI2;S2;#REF!;;;
CITY\3305 RENNES BOURGEOIS;3305;189;22 MAIL LOUISE BOURGEOIS;35000;RENNES;33963532681;LV3;02K_WI2;S2;#REF!;;;
CITY\3314 BORDEAUX BLANQUI;3314;9545;17 RUE BLANQUI;33300;BORDEAUX;33962628268;LV3;04K_WI2;S2;#REF!;;;
CITY\3315 DAX;3315;298;RUE SAINT-VINCENT;40100;DAX;33558473977;LV3;03K_WI2;S2;#REF!;;;
CITY\3316 LE TEICH;3316;621;41 AVENUE DE LA COTE D'ARGENT;33470;LE TEICH;33556835673;LV3;03K_WI2;S2;#REF!;;;
CITY\3318 PARIS MONGE 34;3318;1470;34 RUE MONGE;75005;PARIS;33140467047;LV1;08K_WI2_5SCO-DN;S2;#REF!;;DN;DN
CITY\3319 PARIS GRENELLE MAILLOL;3319;266;53 - 59 RUE DE GRENELLE;75007;PARIS;33143217025;LV3;04K_WI2_4SCO-NCR;S2;#REF!;NCR;;NCR
CITY\3320 GOURNAY SUR MARNE;3320;278;2 AVENUE FOCH;93460;GOURNAY SUR MARNE;33143050849;LV3;03K_WI2;S2;#REF!;;;
CITY\3324 PARIS DUNKERQUE GDN;3324;264;18 RUE DE DUNKERQUE GARE DU NORD;75010;PARIS;;LV3;03K_WI2;S2;#REF!;;;
CITY\3330 TALENCE;3330;628;29 - 31 ALLEE DU 7EME ART - LES ARPEGES;33400;TALENCE;33557935638;LV1;03K_WI2;S2;#REF!;;;
CITY\3340 NANTES PICASSO;3340;;20 MAIL PABLO PICASSO;44000;NANTES;33971211840;LV1;03K_WI2;S2;#REF!;;;
CITY\3344 SAINT CYR SUR MER HUGO;3344;293;19 BIS AVENUE VICTOR HUGO;83270;SAINT CYR SUR MER;33494324150;LV2;03K_WI2;S2;#REF!;;;
